signaling,Activation_z_score,timePoint,tissue,p,number_of_genes
assembly of intercellular junctions,-0.187, chronic  stress,ST,,
assembly of intercellular junctions,0.332, chronic recovery,ST,,
assembly of intercellular junctions,-1.242,  acute  stress,ST,,
assembly of intercellular junctions,-1.504,  acute recovery,ST,,
communication of cells,0.44, chronic  stress,ST,,
communication of cells,0.44, chronic recovery,ST,,
communication of cells,-0.088,  acute  stress,ST,,
communication of cells,-0.088,  acute recovery,ST,,
concentration of 5-hydroxytryptamine,0.085, chronic  stress,ST,,
concentration of 5-hydroxytryptamine,0.435, chronic recovery,ST,,
concentration of 5-hydroxytryptamine,0.253,  acute  stress,ST,,
concentration of 5-hydroxytryptamine,-1.15,  acute recovery,ST,,
concentration of dopamine,-0.714, chronic  stress,ST,,
concentration of dopamine,-0.626, chronic recovery,ST,,
concentration of dopamine,1.579,  acute  stress,ST,,
concentration of dopamine,-0.005,  acute recovery,ST,,
concentration of norepinephrine,-1.23, chronic  stress,ST,,
concentration of norepinephrine,1.154, chronic recovery,ST,,
concentration of norepinephrine,1.001,  acute  stress,ST,,
concentration of norepinephrine,-1.306,  acute recovery,ST,,
excitation of neurons,-0.666, chronic  stress,ST,,
excitation of neurons,1.789, chronic recovery,ST,,
excitation of neurons,-0.246,  acute  stress,ST,,
excitation of neurons,1.999,  acute recovery,ST,,
excitatory postsynaptic potential,1.694, chronic  stress,ST,,
excitatory postsynaptic potential,0.488, chronic recovery,ST,,
excitatory postsynaptic potential,0.488,  acute  stress,ST,,
excitatory postsynaptic potential,0.488,  acute recovery,ST,,
long term depression of synapse,-1.527, chronic  stress,ST,,
long term depression of synapse,-0.458, chronic recovery,ST,,
long term depression of synapse,-0.076,  acute  stress,ST,,
long term depression of synapse,0.916,  acute recovery,ST,,
long-term potentiation of synapse,0.243, chronic  stress,ST,,
long-term potentiation of synapse,-0.997, chronic recovery,ST,,
long-term potentiation of synapse,-0.919,  acute  stress,ST,,
long-term potentiation of synapse,-0.545,  acute recovery,ST,,
plasticity of synapse,0.552, chronic  stress,ST,,
plasticity of synapse,-2.128, chronic recovery,ST,,
plasticity of synapse,-2.758,  acute  stress,ST,,
plasticity of synapse,0.552,  acute recovery,ST,,
release of dopamine,2.223, chronic  stress,ST,,
release of dopamine,0.061, chronic recovery,ST,,
release of dopamine,-1.823,  acute  stress,ST,,
release of dopamine,-0.726,  acute recovery,ST,,
release of L-glutamic acid,1.403, chronic  stress,ST,,
release of L-glutamic acid,-0.996, chronic recovery,ST,,
release of L-glutamic acid,-1.997,  acute  stress,ST,,
release of L-glutamic acid,-0.119,  acute recovery,ST,,
secretion of catecholamine,0.01, chronic  stress,ST,,
secretion of catecholamine,-0.301, chronic recovery,ST,,
secretion of catecholamine,-1.028,  acute  stress,ST,,
secretion of catecholamine,0.156,  acute recovery,ST,,
stimulation of neurons,-0.664, chronic  stress,ST,,
stimulation of neurons,1.542, chronic recovery,ST,,
stimulation of neurons,-0.277,  acute  stress,ST,,
stimulation of neurons,1.354,  acute recovery,ST,,
synaptic transm. of cerebral cortex,0.293, chronic  stress,ST,,
synaptic transm. of cerebral cortex,-1.048, chronic recovery,ST,,
synaptic transm. of cerebral cortex,-0.042,  acute  stress,ST,,
synaptic transm. of cerebral cortex,0.629,  acute recovery,ST,,
synaptogenesis,0.23, chronic  stress,ST,,
synaptogenesis,0.286, chronic recovery,ST,,
synaptogenesis,-0.873,  acute  stress,ST,,
synaptogenesis,-1.146,  acute recovery,ST,,
axonogenesis,-1.017,  acute  stress,ST,,
axonogenesis,-2.426,  acute recovery,ST,,
axonogenesis,-0.93, chronic  stress,ST,,
axonogenesis,-0.211, chronic recovery,ST,,
dendritic growth/branching,-0.548,  acute  stress,ST,,
dendritic growth/branching,-1.238,  acute recovery,ST,,
dendritic growth/branching,0.477, chronic  stress,ST,,
dendritic growth/branching,-2.896, chronic recovery,ST,,
density of dendritic spines,-1.177,  acute  stress,ST,,
density of dendritic spines,-1.43,  acute recovery,ST,,
density of dendritic spines,0.775, chronic  stress,ST,,
density of dendritic spines,-1.927, chronic recovery,ST,,
development of cerebral cortex,1.536,  acute  stress,ST,,
development of cerebral cortex,-0.43,  acute recovery,ST,,
development of cerebral cortex,0.307, chronic  stress,ST,,
development of cerebral cortex,1.044, chronic recovery,ST,,
development of hippocampus,0.936,  acute  stress,ST,,
development of hippocampus,0.36,  acute recovery,ST,,
development of hippocampus,0.36, chronic  stress,ST,,
development of hippocampus,0.36, chronic recovery,ST,,
loss of neurons,1.333,  acute  stress,ST,,
loss of neurons,1.158,  acute recovery,ST,,
loss of neurons,-0.149, chronic  stress,ST,,
loss of neurons,0.574, chronic recovery,ST,,
migration of neurons,0.478,  acute  stress,ST,,
migration of neurons,-0.602,  acute recovery,ST,,
migration of neurons,-1.315, chronic  stress,ST,,
migration of neurons,1.187, chronic recovery,ST,,
neuritogenesis,-1.065,  acute  stress,ST,,
neuritogenesis,-1.06,  acute recovery,ST,,
neuritogenesis,-0.709, chronic  stress,ST,,
neuritogenesis,-1.492, chronic recovery,ST,,
neuroprotection,0.179,  acute  stress,ST,,
neuroprotection,-0.15,  acute recovery,ST,,
neuroprotection,-0.064, chronic  stress,ST,,
neuroprotection,0.486, chronic recovery,ST,,
outgrowth of neurites,-0.026,  acute  stress,ST,,
outgrowth of neurites,-1.125,  acute recovery,ST,,
outgrowth of neurites,-1.382, chronic  stress,ST,,
outgrowth of neurites,-0.13, chronic recovery,ST,,
prepulse inhibition,-0.446,  acute  stress,ST,,
prepulse inhibition,-0.297,  acute recovery,ST,,
prepulse inhibition,0.503, chronic  stress,ST,,
prepulse inhibition,-0.468, chronic recovery,ST,,
proliferation of neuronal cells,-0.317,  acute  stress,ST,,
proliferation of neuronal cells,-1.545,  acute recovery,ST,,
proliferation of neuronal cells,0.215, chronic  stress,ST,,
proliferation of neuronal cells,0.89, chronic recovery,ST,,
stimulation of neurons,-0.277,  acute  stress,ST,,
stimulation of neurons,1.354,  acute recovery,ST,,
stimulation of neurons,-0.664, chronic  stress,ST,,
stimulation of neurons,1.542, chronic recovery,ST,,
cerebrovascular dysfunction,0.125,  acute  stress,ST,,
cerebrovascular dysfunction,1.209,  acute recovery,ST,,
cerebrovascular dysfunction,-1.209, chronic  stress,ST,,
cerebrovascular dysfunction,-0.125, chronic recovery,ST,,
damage of nervous tissue,-0.217,  acute  stress,ST,,
damage of nervous tissue,-0.352,  acute recovery,ST,,
damage of nervous tissue,-0.851, chronic  stress,ST,,
damage of nervous tissue,-1.04, chronic recovery,ST,,
damage of neurons,0.686,  acute  stress,ST,,
damage of neurons,0.864,  acute recovery,ST,,
damage of neurons,-0.247, chronic  stress,ST,,
damage of neurons,-0.39, chronic recovery,ST,,
disorder of basal ganglia,1.382,  acute  stress,ST,,
disorder of basal ganglia,0.916,  acute recovery,ST,,
disorder of basal ganglia,-0.639, chronic  stress,ST,,
disorder of basal ganglia,0.76, chronic recovery,ST,,
Neurodegeneration,-1.393,  acute  stress,ST,,
Neurodegeneration,1.542,  acute recovery,ST,,
Neurodegeneration,0.993, chronic  stress,ST,,
Neurodegeneration,-0.375, chronic recovery,ST,,
action potential of neurons,-0.746, chronic  stress,VS,,
action potential of neurons,0.033, chronic recovery,VS,,
action potential of neurons,-0.59,  acute  stress,VS,,
action potential of neurons,1.37,  acute recovery,VS,,
activation of neuroglia and microglia,-1.669, chronic  stress,VS,,
activation of neuroglia and microglia,-2.444, chronic recovery,VS,,
activation of neuroglia and microglia,1.003,  acute  stress,VS,,
activation of neuroglia and microglia,-2.062,  acute recovery,VS,,
activation of neurons,-0.75, chronic  stress,VS,,
activation of neurons,-0.248, chronic recovery,VS,,
activation of neurons,1.731,  acute  stress,VS,,
activation of neurons,-1.957,  acute recovery,VS,,
assembly of intercellular junctions,0.545, chronic  stress,VS,,
assembly of intercellular junctions,-0.318, chronic recovery,VS,,
assembly of intercellular junctions,0.526,  acute  stress,VS,,
assembly of intercellular junctions,-1.389,  acute recovery,VS,,
communication of cells,0.616, chronic  stress,VS,,
communication of cells,0.968, chronic recovery,VS,,
communication of cells,0.616,  acute  stress,VS,,
communication of cells,0.264,  acute recovery,VS,,
concentration of 5-hydroxytryptamine,-0.264, chronic  stress,VS,,
concentration of 5-hydroxytryptamine,-0.492, chronic recovery,VS,,
concentration of 5-hydroxytryptamine,-1.336,  acute  stress,VS,,
concentration of 5-hydroxytryptamine,-0.636,  acute recovery,VS,,
concentration of dopamine,-0.579, chronic  stress,VS,,
concentration of dopamine,-0.974, chronic recovery,VS,,
concentration of dopamine,-0.663,  acute  stress,VS,,
concentration of dopamine,-2.723,  acute recovery,VS,,
concentration of norepinephrine,-1.264, chronic  stress,VS,,
concentration of norepinephrine,-1.578, chronic recovery,VS,,
concentration of norepinephrine,-1.264,  acute  stress,VS,,
concentration of norepinephrine,0.542,  acute recovery,VS,,
excitation of neurons,-1.236, chronic  stress,VS,,
excitation of neurons,-1.535, chronic recovery,VS,,
excitation of neurons,0.337,  acute  stress,VS,,
excitation of neurons,-0.861,  acute recovery,VS,,
excitatory postsynaptic potential,0.316, chronic  stress,VS,,
excitatory postsynaptic potential,0.316, chronic recovery,VS,,
excitatory postsynaptic potential,-0.89,  acute  stress,VS,,
excitatory postsynaptic potential,1.694,  acute recovery,VS,,
long term depression of synapse,1.756, chronic  stress,VS,,
long term depression of synapse,-2.444, chronic recovery,VS,,
long term depression of synapse,-2.749,  acute  stress,VS,,
long term depression of synapse,-0.458,  acute recovery,VS,,
long-term potentiation of synapse,1.583, chronic  stress,VS,,
long-term potentiation of synapse,-1.5, chronic recovery,VS,,
long-term potentiation of synapse,-1.404,  acute  stress,VS,,
long-term potentiation of synapse,0.471,  acute recovery,VS,,
plasticity of synapse,0.394, chronic  stress,VS,,
plasticity of synapse,-3.074, chronic recovery,VS,,
plasticity of synapse,-1.34,  acute  stress,VS,,
plasticity of synapse,-1.182,  acute recovery,VS,,
release of dopamine,-1.884, chronic  stress,VS,,
release of dopamine,-0.345, chronic recovery,VS,,
release of dopamine,-1.201,  acute  stress,VS,,
release of dopamine,-1.669,  acute recovery,VS,,
release of L-glutamic acid,-0.391, chronic  stress,VS,,
release of L-glutamic acid,0.582, chronic recovery,VS,,
release of L-glutamic acid,-0.653,  acute  stress,VS,,
release of L-glutamic acid,0.782,  acute recovery,VS,,
secretion of catecholamine,1.609, chronic  stress,VS,,
secretion of catecholamine,1.733, chronic recovery,VS,,
secretion of catecholamine,-0.01,  acute  stress,VS,,
secretion of catecholamine,-0.01,  acute recovery,VS,,
stimulation of neurons,-0.755, chronic  stress,VS,,
stimulation of neurons,-1.944, chronic recovery,VS,,
stimulation of neurons,0.358,  acute  stress,VS,,
stimulation of neurons,-1.746,  acute recovery,VS,,
synaptic transm. of cerebral cortex,0.461, chronic  stress,VS,,
synaptic transm. of cerebral cortex,-0.545, chronic recovery,VS,,
synaptic transm. of cerebral cortex,-0.629,  acute  stress,VS,,
synaptic transm. of cerebral cortex,0.377,  acute recovery,VS,,
synaptogenesis,0.625, chronic  stress,VS,,
synaptogenesis,-0.765, chronic recovery,VS,,
synaptogenesis,0.11,  acute  stress,VS,,
synaptogenesis,-1.876,  acute recovery,VS,,
axonogenesis,-0.124,  acute  stress,VS,,
axonogenesis,-0.963,  acute recovery,VS,,
axonogenesis,0.581, chronic  stress,VS,,
axonogenesis,0.111, chronic recovery,VS,,
dendritic growth/branching,-1.095,  acute  stress,VS,,
dendritic growth/branching,-1.917,  acute recovery,VS,,
dendritic growth/branching,1.425, chronic  stress,VS,,
dendritic growth/branching,-0.164, chronic recovery,VS,,
density of dendritic spines,0.611,  acute  stress,VS,,
density of dendritic spines,-2.023,  acute recovery,VS,,
density of dendritic spines,-0.112, chronic  stress,VS,,
density of dendritic spines,-0.453, chronic recovery,VS,,
development of cerebral cortex,0.676,  acute  stress,VS,,
development of cerebral cortex,-1.781,  acute recovery,VS,,
development of cerebral cortex,0.307, chronic  stress,VS,,
development of cerebral cortex,-2.519, chronic recovery,VS,,
development of hippocampus,-0.072,  acute  stress,VS,,
development of hippocampus,-2.087,  acute recovery,VS,,
development of hippocampus,0.36, chronic  stress,VS,,
development of hippocampus,-2.087, chronic recovery,VS,,
loss of neurons,1.384,  acute  stress,VS,,
loss of neurons,2.635,  acute recovery,VS,,
loss of neurons,0.57, chronic  stress,VS,,
loss of neurons,3.492, chronic recovery,VS,,
migration of neurons,-0.126,  acute  stress,VS,,
migration of neurons,-1.014,  acute recovery,VS,,
migration of neurons,-1.404, chronic  stress,VS,,
migration of neurons,-1.106, chronic recovery,VS,,
neuritogenesis,-1.42,  acute  stress,VS,,
neuritogenesis,-2.902,  acute recovery,VS,,
neuritogenesis,1.002, chronic  stress,VS,,
neuritogenesis,-0.632, chronic recovery,VS,,
neuroprotection,1.932,  acute  stress,VS,,
neuroprotection,-1.866,  acute recovery,VS,,
neuroprotection,-1.192, chronic  stress,VS,,
neuroprotection,-2.853, chronic recovery,VS,,
outgrowth of neurites,-1.756,  acute  stress,VS,,
outgrowth of neurites,-2.598,  acute recovery,VS,,
outgrowth of neurites,-0.022, chronic  stress,VS,,
outgrowth of neurites,-2.582, chronic recovery,VS,,
prepulse inhibition,0.411,  acute  stress,VS,,
prepulse inhibition,-0.388,  acute recovery,VS,,
prepulse inhibition,-0.64, chronic  stress,VS,,
prepulse inhibition,-0.297, chronic recovery,VS,,
proliferation of neuronal cells,-0.558,  acute  stress,VS,,
proliferation of neuronal cells,-0.263,  acute recovery,VS,,
proliferation of neuronal cells,-0.14, chronic  stress,VS,,
proliferation of neuronal cells,-1.555, chronic recovery,VS,,
stimulation of neurons,0.358,  acute  stress,VS,,
stimulation of neurons,-1.746,  acute recovery,VS,,
stimulation of neurons,-0.755, chronic  stress,VS,,
stimulation of neurons,-1.944, chronic recovery,VS,,
cerebrovascular dysfunction,0.454,  acute  stress,VS,,
cerebrovascular dysfunction,0.454,  acute recovery,VS,,
cerebrovascular dysfunction,0.454, chronic  stress,VS,,
cerebrovascular dysfunction,-0.227, chronic recovery,VS,,
damage of nervous tissue,0.345,  acute  stress,VS,,
damage of nervous tissue,2.048,  acute recovery,VS,,
damage of nervous tissue,0.022, chronic  stress,VS,,
damage of nervous tissue,1.211, chronic recovery,VS,,
damage of neurons,0.471,  acute  stress,VS,,
damage of neurons,2.012,  acute recovery,VS,,
damage of neurons,-0.606, chronic  stress,VS,,
damage of neurons,2.012, chronic recovery,VS,,
disorder of basal ganglia,0.046,  acute  stress,VS,,
disorder of basal ganglia,2.445,  acute recovery,VS,,
disorder of basal ganglia,0.686, chronic  stress,VS,,
disorder of basal ganglia,0.686, chronic recovery,VS,,
Neurodegeneration,-0.601,  acute  stress,VS,,
Neurodegeneration,0.335,  acute recovery,VS,,
Neurodegeneration,2.017, chronic  stress,VS,,
Neurodegeneration,-0.113, chronic recovery,VS,,
